"zip","latitude","longitude"
"03111",42.95,-71.65
"03215",43.93,-71.53
"03216",43.42,-71.78
"03217",43.70,-71.61
"03218",43.33,-71.28
"03220",43.45,-71.48
"03221",43.25,-71.96
"03222",43.61,-71.75
"03223",43.84,-71.66
"03224",43.35,-71.55
"03225",43.35,-71.24
"03226",43.71,-71.47
"03227",43.81,-71.45
"03229",43.19,-71.69
"03230",43.51,-71.86
"03231",43.46,-71.73
"03232",43.96,-71.84
"03233",43.42,-71.94
"03234",43.21,-71.35
"03235",43.44,-71.64
"03237",43.41,-71.41
"03238",43.96,-71.84
"03240",43.57,-71.96
"03241",43.71,-71.82
"03242",43.17,-71.81
"03243",43.52,-71.72
"03244",43.12,-71.90
"03245",43.73,-71.60
"03246",43.57,-71.47
"03247",43.58,-71.44
"03249",43.54,-71.40
"03251",44.05,-71.67
"03252",43.46,-71.53
"03253",43.63,-71.49
"03254",43.72,-71.39
"03255",43.32,-72.01
"03256",43.61,-71.64
"03257",43.41,-71.98
"03258",43.24,-71.41
"03259",43.84,-71.38
"03260",43.36,-71.93
"03261",43.20,-71.20
"03262",44.03,-71.68
"03263",43.28,-71.33
"03264",43.76,-71.68
"03265",43.41,-71.99
"03266",43.80,-71.84
"03268",43.40,-71.70
"03269",43.54,-71.60
"03272",43.31,-71.66
"03273",43.30,-71.92
"03274",43.96,-71.84
"03275",43.16,-71.41
"03276",43.46,-71.57
"03278",43.30,-71.83
"03279",43.94,-71.89
"03280",43.17,-72.08
"03281",43.07,-71.70
"03282",43.86,-71.90
"03284",43.49,-72.04
"03285",43.90,-71.64
"03287",43.44,-71.91
"03289",43.49,-71.51
"03290",43.11,-71.11
"03291",43.18,-71.13
"03293",43.96,-71.84
"03298",43.52,-71.44
"03299",43.52,-71.44
"03301",43.21,-71.52
"03302",43.31,-71.66
"03303",43.28,-71.65
"03304",43.13,-71.54
"03305",43.21,-71.51
"03306",43.20,-71.53
"03307",43.31,-71.46
"03431",42.96,-72.29
"03435",42.94,-72.24
"03440",43.05,-71.93
"03441",42.78,-72.43
"03442",43.01,-71.91
"03443",42.88,-72.45
"03444",42.89,-72.05
"03445",42.99,-72.20
"03446",42.84,-72.33
"03447",42.76,-72.14
"03448",43.03,-72.27
"03449",42.97,-71.98
"03450",42.93,-72.09
"03451",42.80,-72.50
"03452",42.81,-72.02
"03455",42.89,-72.20
"03456",43.13,-72.21
"03457",42.99,-72.13
"03458",42.88,-71.94
"03461",42.75,-72.01
"03462",42.91,-72.41
"03464",43.07,-72.10
"03465",42.82,-72.18
"03466",42.89,-72.50
"03467",42.96,-72.43
"03468",42.89,-71.93
"03469",42.87,-72.31
"03470",42.77,-72.34
"03561",44.31,-71.77
"03570",44.48,-71.18
"03574",44.28,-71.68
"03575",44.69,-71.38
"03576",44.90,-71.47
"03579",44.80,-71.14
"03580",44.20,-71.75
"03581",44.40,-71.15
"03582",44.59,-71.50
"03583",44.39,-71.45
"03584",44.49,-71.55
"03585",44.21,-71.89
"03586",44.22,-71.79
"03587",44.69,-71.38
"03588",44.58,-71.18
"03589",44.69,-71.38
"03590",44.71,-71.56
"03592",45.08,-71.36
"03593",44.47,-71.17
"03595",44.26,-71.54
"03597",44.69,-71.38
"03598",44.36,-71.60
"03601",43.19,-72.30
"03602",43.12,-72.32
"03603",43.25,-72.40
"03604",42.94,-72.24
"03605",43.21,-72.19
"03606",43.23,-72.21
"03607",43.19,-72.26
"03608",43.07,-72.41
"03609",43.14,-72.44
"03740",44.18,-71.98
"03741",43.66,-72.02
"03743",43.36,-72.34
"03745",43.49,-72.33
"03746",43.36,-72.19
"03748",43.62,-72.12
"03749",43.57,-72.08
"03750",43.71,-72.21
"03751",43.44,-72.06
"03752",43.30,-72.12
"03753",43.51,-72.13
"03754",43.36,-72.12
"03755",43.70,-72.28
"03756",43.96,-71.84
"03765",44.03,-72.05
"03766",43.64,-72.24
"03768",43.79,-72.16
"03769",43.78,-72.12
"03770",43.52,-72.27
